player_name;team_abbreviation;country;pts;reb;ast;season
Scottie Pippen;POR;USA;10.6;5.2;5.9;2001-02
Scott Williams;DEN;USA;4.9;5.1;0.3;2001-02
Scott Padgett;UTA;USA;6.7;3.8;1.1;2001-02
Scot Pollard;SAC;USA;6.4;7.1;0.7;2001-02
Samuel Dalembert;PHI;Haiti;1.5;2.0;0.1;2001-02
Speedy Claxton;PHI;USA;7.2;2.4;3.0;2001-02
Sam Mitchell;MIN;USA;3.3;1.1;0.6;2001-02
Stacey Augmon;CHH;USA;4.7;2.9;1.3;2001-02
Stephon Marbury;PHX;USA;20.4;3.2;8.1;2001-02
Tim James;PHI;USA;1.3;0.8;0.1;2001-02
Tim Hardaway;DEN;USA;9.6;1.8;4.1;2001-02
Tim Duncan;SAS;US Virgin Islands;25.5;12.7;3.7;2001-02
Tierre Brown;HOU;USA;3.1;1.1;1.8;2001-02
Theo Ratliff;ATL;USA;8.7;5.3;0.3;2001-02
Terry Porter;SAS;USA;5.5;2.3;2.8;2001-02
Terrell Brandon;MIN;USA;12.4;2.9;8.3;2001-02
Terence Morris;HOU;USA;3.8;3.1;0.9;2001-02
Tariq Abdul-Wahad;DAL;France;5.6;3.5;1.0;2001-02
Tang Hamilton;MIA;USA;2.2;2.0;0.6;2001-02
Stromile Swift;MEM;USA;11.8;6.3;0.7;2001-02
Mark Pope;MIL;USA;1.9;1.6;0.4;2001-02
Steven Hunter;ORL;USA;3.6;1.8;0.1;2001-02
Steve Nash;DAL;Canada;17.9;3.1;7.7;2001-02
Steve Kerr;POR;USA;4.1;0.9;1.0;2001-02
Steve Goodrich;NJN;USA;0.6;0.6;0.6;2001-02
Steve Francis;HOU;USA;21.6;7.0;6.4;2001-02
Stephen Jackson;SAS;USA;3.9;1.1;0.5;2001-02
Mark Madsen;LAL;USA;2.8;2.7;0.7;2001-02
Kevin Ollie;IND;USA;5.7;2.3;3.6;2001-02
Mark Bryant;SAS;USA;1.9;1.5;0.3;2001-02
Greg Anthony;MIL;USA;7.9;2.2;4.7;2001-02
Grant Long;MEM;USA;6.3;3.5;2.1;2001-02
Grant Hill;ORL;USA;16.8;8.9;4.6;2001-02
Glenn Robinson;MIL;USA;20.7;6.2;2.5;2001-02
Glen Rice;HOU;USA;8.6;2.4;1.6;2001-02
Gilbert Arenas;GSW;USA;10.9;2.8;3.7;2001-02
Gerald Wallace;SAC;USA;3.2;1.6;0.5;2001-02
Greg Buckner;DAL;USA;5.8;3.9;1.1;2001-02
George McCloud;DEN;USA;8.8;3.6;3.0;2001-02
Gary Trent;MIN;USA;7.5;4.2;0.9;2001-02
Gary Payton;SEA;USA;22.1;4.8;9.0;2001-02
Fred Hoiberg;CHI;USA;4.4;2.7;1.7;2001-02
Felton Spencer;NYK;USA;0.9;1.6;0.1;2001-02
Felipe Lopez;MIN;Dominican Republic;2.5;1.2;0.6;2001-02
Evan Eschmeyer;DAL;USA;2.0;3.2;0.3;2001-02
Etan Thomas;WAS;USA;4.3;3.9;0.1;2001-02
George Lynch;CHH;USA;3.8;4.1;1.2;2001-02
Greg Foster;MIL;USA;1.2;1.3;0.2;2001-02
Greg Ostertag;UTA;USA;3.3;4.2;0.7;2001-02
Hakeem Olajuwon;TOR;Nigeria;7.1;6.0;1.1;2001-02
Jalen Rose;CHI;USA;20.4;4.5;4.3;2001-02
Jake Voskuhl;PHX;USA;5.0;4.2;0.3;2001-02
Jake Tsakalidis;PHX;Greece;7.3;5.6;0.3;2001-02
Jahidi White;WAS;USA;5.4;6.3;0.2;2001-02
Jacque Vaughn;ATL;USA;6.6;2.0;4.3;2001-02
Jabari Smith;PHI;USA;3.2;1.2;0.5;2001-02
Isaiah Rider;DEN;USA;9.3;3.3;1.2;2001-02
Ira Newble;ATL;USA;8.0;5.3;1.1;2001-02
Ira Bowman;PHI;USA;3.3;0.3;0.3;2001-02
Ike Fontaine;MEM;USA;1.8;0.8;0.7;2001-02
Ike Austin;MEM;USA;3.6;3.4;0.6;2001-02
Hubert Davis;WAS;USA;7.2;1.5;2.1;2001-02
Howard Eisley;NYK;USA;4.4;1.3;2.6;2001-02
Horace Grant;ORL;USA;8.0;6.3;1.4;2001-02
Hedo Turkoglu;SAC;Turkey;10.1;4.5;2.0;2001-02
Harold Jamison;LAC;USA;2.2;1.6;0.2;2001-02
Hanno Mottola;ATL;Finland;4.8;3.3;0.6;2001-02
Ervin Johnson;MIL;USA;2.6;5.8;0.3;2001-02
Jamaal Magloire;CHH;Canada;8.5;5.6;0.4;2001-02
Ernest Brown;MIA;USA;1.0;2.0;0.0;2001-02
Erick Dampier;GSW;USA;7.6;5.3;1.2;2001-02
Donyell Marshall;UTA;USA;14.8;7.6;1.7;2001-02
Donny Marshall;NJN;USA;1.5;1.1;0.3;2001-02
Donnell Harvey;DEN;USA;5.7;4.8;0.8;2001-02
Don Reid;ORL;USA;3.3;2.6;0.4;2001-02
Dirk Nowitzki;DAL;Germany;23.4;9.9;2.4;2001-02
Dion Glover;ATL;USA;8.9;3.1;1.5;2001-02
Dikembe Mutombo;PHI;Congo;11.5;10.8;1.0;2001-02
Doug Christie;SAC;USA;12.0;4.6;4.2;2001-02
Dickey Simpkins;ATL;USA;0.0;0.0;1.0;2001-02
Desmond Mason;SEA;USA;12.4;4.7;1.4;2001-02
Derrick McKey;PHI;USA;2.9;3.1;1.1;2001-02
Derrick Dial;TOR;USA;3.2;1.8;1.1;2001-02
Derrick Coleman;PHI;USA;15.1;8.8;1.7;2001-02
Derek Fisher;LAL;USA;11.2;2.1;2.6;2001-02
Derek Anderson;POR;USA;10.8;2.7;3.1;2001-02
Zydrunas Ilgauskas;CLE;Lithuania;11.1;5.4;1.1;2001-02
Devean George;LAL;USA;7.1;3.7;1.4;2001-02
Doug Overton;LAC;USA;2.2;0.7;0.7;2001-02
Earl Boykins;LAC;USA;4.1;0.8;2.1;2001-02
Earl Watson;SEA;USA;3.6;1.3;2.0;2001-02
Erick Barkley;POR;USA;3.1;0.9;1.8;2001-02
Eric Williams;BOS;USA;6.4;3.0;1.5;2001-02
Eric Snow;PHI;USA;12.1;3.5;6.6;2001-02
Eric Piatkowski;LAC;USA;8.8;2.6;1.6;2001-02
Eric Montross;TOR;USA;2.4;2.9;0.3;2001-02
Emanual Davis;ATL;USA;6.6;2.6;2.4;2001-02
Elton Brand;LAC;USA;18.2;11.6;2.4;2001-02
Elliot Perry;MEM;USA;5.5;2.0;3.5;2001-02
Eldridge Recasner;LAC;USA;0.8;0.0;0.8;2001-02
Elden Campbell;CHH;USA;13.9;6.9;1.3;2001-02
Eduardo Najera;DAL;Mexico;6.5;5.5;0.6;2001-02
Eddy Curry;CHI;USA;6.7;3.8;0.3;2001-02
Eddie Robinson;CHI;USA;9.0;2.7;1.3;2001-02
Eddie Jones;MIA;USA;18.3;4.7;3.2;2001-02
Eddie House;MIA;USA;8.0;1.7;1.9;2001-02
Eddie Griffin;HOU;USA;8.8;5.7;0.7;2001-02
Eddie Gill;MEM;USA;5.0;1.2;2.1;2001-02
Erick Strickland;BOS;USA;7.7;2.7;2.3;2001-02
Mark Jackson;NYK;USA;8.4;3.8;7.4;2001-02
Jamaal Tinsley;IND;USA;9.4;3.7;8.1;2001-02
Jamal Mashburn;CHH;USA;21.5;6.1;4.3;2001-02
Kwame Brown;WAS;USA;4.5;3.5;0.8;2001-02
Kurt Thomas;NYK;USA;13.9;9.1;1.1;2001-02
Kobe Bryant;LAL;USA;25.2;5.5;5.5;2001-02
Kirk Haston;CHH;USA;1.7;1.3;0.3;2001-02
Keyon Dooling;LAC;USA;4.1;0.2;0.9;2001-02
Kevin Willis;HOU;USA;6.1;5.8;0.3;2001-02
Kevin Garnett;MIN;USA;21.2;12.1;5.2;2001-02
LaPhonso Ellis;MIA;USA;7.1;4.3;0.8;2001-02
Kerry Kittles;NJN;USA;13.4;3.4;2.6;2001-02
Kenyon Martin;NJN;USA;14.9;5.3;2.6;2001-02
Kenny Thomas;HOU;USA;14.1;7.2;1.9;2001-02
Kenny Satterfield;DEN;USA;5.3;1.4;3.0;2001-02
Kenny Anderson;BOS;USA;9.6;3.6;5.3;2001-02
Kendall Gill;MIA;USA;5.7;2.8;1.5;2001-02
Kelvin Cato;HOU;USA;6.6;7.0;0.4;2001-02
Keith Van Horn;NJN;USA;14.8;7.5;2.0;2001-02
Keon Clark;TOR;USA;11.3;7.4;1.1;2001-02
Lamar Odom;LAC;USA;13.1;6.1;5.9;2001-02
Lamond Murray;CLE;USA;16.6;5.2;2.2;2001-02
Larry Hughes;GSW;USA;12.3;3.4;4.3;2001-02
Mark Blount;BOS;USA;2.1;1.9;0.2;2001-02
Marcus Fizer;CHI;USA;12.3;5.6;1.6;2001-02
Marcus Camby;NYK;USA;11.1;11.1;1.1;2001-02
Marc Jackson;MIN;USA;4.8;3.3;0.4;2001-02
Mamadou N'diaye;TOR;Senegal;4.0;2.2;0.0;2001-02
Malik Rose;SAS;USA;9.4;6.0;0.7;2001-02
Malik Allen;MIA;USA;4.3;3.2;0.4;2001-02
Lucious Harris;NJN;USA;9.1;2.8;1.6;2001-02
Lorenzen Wright;MEM;USA;12.0;9.4;1.0;2001-02
Loren Woods;MIN;USA;1.8;2.0;0.4;2001-02
Lindsey Hunter;LAL;USA;5.8;1.5;1.6;2001-02
Leon Smith;ATL;USA;2.2;2.2;0.2;2001-02
Lee Nailon;CHH;USA;10.8;3.7;1.2;2001-02
Lawrence Funderburke;SAC;USA;4.7;3.5;0.6;2001-02
Lavor Postell;NYK;USA;4.0;0.7;0.2;2001-02
Latrell Sprewell;NYK;USA;19.4;3.7;3.9;2001-02
Larry Robinson;NYK;USA;1.5;1.0;0.0;2001-02
Kedrick Brown;BOS;USA;2.2;1.7;0.5;2001-02
Jamal Crawford;CHI;USA;9.3;1.5;2.4;2001-02
Karl Malone;UTA;USA;22.4;8.6;4.3;2001-02
Jumaine Jones;CLE;USA;8.3;6.0;1.4;2001-02
Jelani McCoy;LAL;USA;1.2;1.2;0.3;2001-02
Jeff Trepagnier;CLE;USA;1.5;1.0;1.0;2001-02
Jeff McInnis;LAC;USA;14.6;2.6;6.2;2001-02
Jeff Foster;IND;USA;5.7;6.8;0.9;2001-02
Jason Williams;MEM;USA;14.8;3.0;8.0;2001-02
Jason Terry;ATL;USA;19.3;3.5;5.7;2001-02
Jason Richardson;GSW;USA;14.4;4.3;3.0;2001-02
Jermaine Jackson;TOR;USA;2.4;1.1;2.4;2001-02
Jason Kidd;NJN;USA;14.7;7.3;9.9;2001-02
Jason Collins;NJN;USA;4.5;3.9;1.1;2001-02
Jason Collier;HOU;USA;4.2;3.3;0.4;2001-02
Jason Caffey;MIL;USA;4.3;2.2;0.5;2001-02
Jarron Collins;UTA;USA;6.4;4.2;0.8;2001-02
Jaren Jackson;ORL;USA;4.3;1.9;0.9;2001-02
Jamison Brewer;IND;USA;0.3;0.6;0.7;2001-02
James Posey;DEN;USA;10.7;5.9;2.5;2001-02
Jason Hart;SAS;USA;2.6;1.3;1.2;2001-02
Jermaine O'Neal;IND;USA;19.0;10.5;1.6;2001-02
Jerome James;SEA;USA;5.3;4.1;0.4;2001-02
Jerome Moiso;CHH;France;1.1;1.7;0.3;2001-02
Jud Buechler;ORL;USA;1.7;1.8;0.5;2001-02
Joseph Forte;BOS;USA;0.8;0.8;0.8;2001-02
Jonathan Bender;IND;USA;7.4;3.1;0.8;2001-02
Jon Barry;DET;USA;9.0;2.9;3.3;2001-02
Johnny Newman;DAL;USA;4.2;1.0;0.3;2001-02
John Wallace;PHX;USA;5.0;1.8;0.6;2001-02
John Stockton;UTA;USA;13.4;3.2;8.2;2001-02
John Starks;UTA;USA;4.4;1.0;1.1;2001-02
John Crotty;UTA;USA;6.9;1.8;3.4;2001-02
John Amaechi;UTA;England;3.2;2.0;0.5;2001-02
Joel Przybilla;MIL;USA;2.7;4.0;0.3;2001-02
Joe Smith;MIN;USA;10.7;6.3;1.1;2001-02
Joe Johnson;PHX;USA;7.5;3.3;2.3;2001-02
Joe Crispin;PHX;USA;3.8;0.5;1.2;2001-02
Jim Jackson;MIA;USA;10.7;5.3;2.5;2001-02
Jeryl Sasser;ORL;USA;1.4;1.0;0.3;2001-02
Jerry Stackhouse;DET;USA;21.4;4.1;5.3;2001-02
Juwan Howard;DEN;USA;14.6;7.6;2.1;2001-02
Jerome Williams;TOR;USA;7.6;5.7;1.1;2001-02
Nick Van Exel;DAL;USA;18.4;3.5;6.6;2001-02
Chris Whitney;WAS;USA;10.2;1.9;3.8;2001-02
Carlos Rogers;IND;USA;2.7;1.7;0.1;2001-02
Cedric Henderson;GSW;USA;3.0;0.3;0.3;2001-02
Charles Oakley;CHI;USA;3.8;6.0;2.0;2001-02
Charles Smith;SAS;USA;7.4;2.2;1.3;2001-02
Charlie Bell;DAL;USA;1.1;0.7;0.3;2001-02
Charlie Ward;NYK;USA;5.2;2.0;3.2;2001-02
Carlos Arroyo;DEN;Puerto Rico;3.0;1.1;1.9;2001-02
Chauncey Billups;MIN;USA;12.5;2.8;5.5;2001-02
Chris Andersen;DEN;USA;3.0;3.2;0.3;2001-02
Chris Childs;TOR;USA;4.1;2.2;5.1;2001-02
Chris Crawford;ATL;USA;7.6;3.6;0.7;2001-02
Chris Dudley;POR;USA;1.1;1.9;0.3;2001-02
Chris Gatling;MIA;USA;6.4;3.8;0.5;2001-02
Chris Mihm;CLE;USA;7.7;5.3;0.3;2001-02
Cherokee Parks;SAS;USA;1.5;1.4;0.2;2001-02
Chris Mills;GSW;USA;7.4;2.9;1.1;2001-02
Calvin Booth;SEA;USA;6.2;3.6;1.1;2001-02
Cal Bowdler;ATL;USA;3.1;2.1;0.2;2001-02
Brandon Armstrong;NJN;USA;1.8;0.5;0.2;2001-02
Brendan Haywood;WAS;USA;5.1;5.2;0.5;2001-02
Brent Barry;SEA;USA;14.4;5.4;5.3;2001-02
Brent Price;SAC;USA;1.6;0.4;0.5;2001-02
Brevin Knight;MEM;USA;7.0;2.1;5.7;2001-02
Brian Cardinal;DET;USA;2.1;0.8;0.3;2001-02
Calbert Cheaney;DEN;USA;7.3;3.5;1.6;2001-02
Brian Grant;MIA;USA;9.3;8.0;1.9;2001-02
Brian Skinner;CLE;USA;3.4;4.3;0.3;2001-02
Bruce Bowen;SAS;USA;7.0;2.7;1.5;2001-02
Bruno Sundov;IND;Croatia;1.5;1.0;0.1;2001-02
Bryant Stith;CLE;USA;4.2;1.7;0.8;2001-02
Bryce Drew;CHH;USA;3.4;1.2;1.7;2001-02
Bryon Russell;UTA;USA;9.6;4.5;2.1;2001-02
Brian Scalabrine;NJN;USA;2.1;1.8;0.8;2001-02
Chris Webber;SAC;USA;24.5;10.1;4.8;2001-02
Christian Laettner;WAS;USA;7.1;5.3;2.6;2001-02
Chucky Atkins;DET;USA;12.1;2.0;3.3;2001-02
Danny Manning;DAL;USA;4.0;2.6;0.7;2001-02
Darius Miles;LAC;USA;9.5;5.5;2.2;2001-02
Darrell Armstrong;ORL;USA;12.4;3.9;5.5;2001-02
Darrick Martin;DAL;USA;0.3;0.3;1.0;2001-02
Darvin Ham;MIL;USA;4.3;2.9;1.0;2001-02
David Robinson;SAS;USA;12.2;8.3;1.2;2001-02
Danny Fortson;GSW;USA;11.2;11.7;1.6;2001-02
David Wesley;CHH;USA;14.2;2.1;3.5;2001-02
DeShawn Stevenson;UTA;USA;4.9;2.0;1.7;2001-02
Dean Garrett;GSW;USA;1.1;1.7;0.1;2001-02
Dean Oliver;GSW;USA;2.1;0.4;1.1;2001-02
Dee Brown;ORL;USA;1.0;1.3;0.3;2001-02
Dell Curry;TOR;USA;6.4;1.4;1.1;2001-02
DerMarr Johnson;ATL;USA;8.4;3.4;1.1;2001-02
DeSagana Diop;CLE;Senegal;1.4;0.9;0.3;2001-02
Danny Ferry;SAS;USA;4.6;1.8;1.0;2001-02
Daniel Santiago;PHX;Puerto Rico;2.7;2.3;0.7;2001-02
Dana Barros;DET;USA;6.7;2.0;2.7;2001-02
Chucky Brown;SAC;USA;1.2;1.8;0.3;2001-02
Clar. Weatherspoon;NYK;USA;8.8;8.2;1.1;2001-02
Clifford Robinson;DET;USA;14.6;4.8;2.5;2001-02
Corey Maggette;LAC;USA;11.4;3.7;1.8;2001-02
Corie Blount;PHI;USA;3.6;5.1;0.6;2001-02
Corliss Williamson;DET;USA;13.6;4.1;1.2;2001-02
Courtney Alexander;WAS;USA;9.8;2.6;1.5;2001-02
Cuttino Mobley;HOU;USA;21.7;4.1;2.5;2001-02
Dale Davis;POR;USA;9.5;8.8;1.2;2001-02
Dalibor Bagaric;CHI;Croatia;3.7;3.2;0.5;2001-02
Damon Jones;DET;USA;5.1;1.5;2.1;2001-02
Damon Stoudamire;POR;USA;13.5;3.9;6.5;2001-02
Damone Brown;PHI;USA;1.4;0.2;0.1;2001-02
Dan Langhi;HOU;USA;3.1;2.0;0.4;2001-02
Dan Majerle;PHX;USA;4.6;2.7;1.4;2001-02
Brad Miller;IND;USA;13.6;8.2;2.0;2001-02
Bonzi Wells;POR;USA;17.0;6.0;2.8;2001-02
Brian Shaw;LAL;USA;2.9;1.9;1.5;2001-02
Bobby Jackson;SAC;USA;11.1;3.1;2.0;2001-02
Andrew DeClercq;ORL;USA;2.7;2.7;0.4;2001-02
Andrei Kirilenko;UTA;Russia;10.7;4.9;1.1;2001-02
Andre Miller;CLE;USA;16.5;4.7;10.9;2001-02
Amal McCaskill;SAS;USA;1.9;1.3;0.1;2001-02
Alvin Williams;TOR;USA;11.8;3.4;5.7;2001-02
Alvin Jones;PHI;USA;1.1;1.6;0.1;2001-02
Alton Ford;PHX;USA;3.1;2.0;0.1;2001-02
Alonzo Mourning;MIA;USA;15.7;8.4;1.2;2001-02
Anfernee Hardaway;PHX;USA;12.0;4.4;4.1;2001-02
Allen Iverson;PHI;USA;31.4;4.5;5.5;2001-02
Al Harrington;IND;USA;13.1;6.3;1.2;2001-02
Adrian Griffin;DAL;USA;7.2;3.9;1.8;2001-02
Adonal Foyle;GSW;St. Vincent & Grenadines;4.8;4.9;0.5;2001-02
Aaron Williams;NJN;USA;7.2;4.1;0.9;2001-02
Aaron McKie;PHI;USA;12.2;4.0;3.7;2001-02
A.J. Guyton;CHI;USA;5.4;1.0;1.8;2001-02
Bobby Simmons;WAS;USA;3.7;1.7;0.6;2001-02
Nick Anderson;MEM;USA;4.0;2.2;0.9;2001-02
Alan Henderson;ATL;USA;5.5;3.7;0.4;2001-02
Ansu Sesay;SEA;USA;6.4;2.2;0.9;2001-02
Allan Houston;NYK;USA;20.4;3.3;2.5;2001-02
Anthony Carter;MIA;USA;4.3;2.5;4.7;2001-02
Bo Outlaw;PHX;USA;4.5;4.4;1.5;2001-02
Antawn Jamison;GSW;USA;19.7;6.8;2.0;2001-02
Bimbo Coles;CLE;USA;3.2;1.2;2.3;2001-02
Ben Wallace;DET;USA;7.6;13.0;1.4;2001-02
Baron Davis;CHH;USA;18.1;4.3;8.5;2001-02
Avery Johnson;DAL;USA;7.9;1.0;4.2;2001-02
Austin Croshere;IND;USA;6.8;3.9;1.0;2001-02
Art Long;SEA;USA;4.5;4.0;0.7;2001-02
Bob Sura;GSW;USA;10.0;3.3;3.5;2001-02
Antonio McDyess;DEN;USA;11.3;5.5;1.8;2001-02
Antonio Harvey;SEA;USA;1.8;1.8;1.0;2001-02
Antonio Davis;TOR;USA;14.5;9.6;2.0;2001-02
Antonio Daniels;SAS;USA;9.2;2.1;2.8;2001-02
Antoine Walker;BOS;USA;22.1;8.8;5.0;2001-02
Anthony Peeler;MIN;USA;9.0;2.5;2.2;2001-02
Antonis Fotsis;MEM;Greece;3.9;2.2;0.4;2001-02
Anthony Johnson;NJN;USA;2.8;0.9;1.4;2001-02
Anthony Mason;MIL;USA;9.6;7.9;4.2;2001-02
Popeye Jones;DAL;USA;2.0;2.3;0.3;2002-03
Michael Doleac;NYK;USA;4.4;2.9;0.6;2002-03
Michael Finley;DAL;USA;19.3;5.8;3.0;2002-03
Michael Jordan;WAS;USA;20.0;6.1;3.8;2002-03
Predrag Savovic;DEN;Yugoslavia;3.1;0.9;0.8;2002-03
Michael Redd;MIL;USA;15.1;4.5;1.4;2002-03
Michael Dickerson;MEM;USA;4.8;1.0;1.3;2002-03
Predrag Drobnjak;SEA;Yugoslavia;9.4;3.9;1.0;2002-03
Michael Olowokandi;LAC;Nigeria;12.3;9.1;1.3;2002-03
Michael Curry;DET;USA;3.0;1.6;1.3;2002-03
Matt Harpring;UTA;USA;17.6;6.6;1.7;2002-03
Metta World Peace;IND;USA;15.5;5.2;2.9;2002-03
Mengke Bateer;SAS;China;0.8;0.8;0.3;2002-03
Melvin Ely;LAC;USA;4.5;3.3;0.3;2002-03
Mehmet Okur;DET;Turkey;6.9;4.7;1.0;2002-03
Maurice Taylor;HOU;USA;8.4;3.6;1.0;2002-03
Matt Maloney;ATL;USA;1.7;0.5;1.2;2002-03
Mateen Cleaves;SAC;USA;1.3;0.7;0.8;2002-03
Marko Jaric;LAC;Serbia;7.4;2.4;2.9;2002-03
Mark Strickland;DAL;USA;1.0;1.8;0.0;2002-03
Mark Madsen;LAL;USA;3.2;2.9;0.7;2002-03
Pepe Sanchez;DET;Argentina;0.0;0.7;0.9;2002-03
Michael Bradley;TOR;USA;5.0;6.1;1.0;2002-03
Peja Stojakovic;SAC;Serbia and Montenegro;19.2;5.5;2.0;2002-03
Mike Wilks;MIN;USA;3.2;1.5;2.0;2002-03
Paul Pierce;BOS;USA;25.9;7.3;4.4;2002-03
Mark Jackson;UTA;USA;4.7;2.1;4.6;2002-03
Michael Stewart;CLE;USA;0.8;1.2;0.1;2002-03
Mike Batiste;MEM;USA;6.4;3.4;0.7;2002-03
Mike Bibby;SAC;USA;15.9;2.7;5.2;2002-03
Mike Dunleavy;GSW;USA;5.7;2.6;1.3;2002-03
Mike James;MIA;USA;7.8;1.9;3.2;2002-03
Mike Miller;MEM;USA;15.6;5.2;2.6;2002-03
Mikki Moore;ATL;USA;2.3;1.0;0.4;2002-03
Milt Palacio;CLE;Belize;5.0;2.9;3.2;2002-03
Monty Williams;PHI;USA;4.4;2.1;1.2;2002-03
Moochie Norris;HOU;USA;4.4;1.9;2.4;2002-03
Paul Shirley;ATL;USA;0.0;0.5;0.0;2002-03
Morris Peterson;TOR;USA;14.1;4.4;2.3;2002-03
Nazr Mohammed;ATL;USA;4.6;3.7;0.2;2002-03
Nene;DEN;Brazil;10.5;6.1;1.9;2002-03
Nick Van Exel;DAL;USA;12.5;2.8;4.3;2002-03
Nikoloz Tskitishvili;DEN;Georgia;3.9;2.2;1.1;2002-03
Olumide Oyedeji;ORL;Nigeria;1.0;1.9;0.2;2002-03
Oscar Torres;GSW;Venezuela;3.1;0.7;0.2;2002-03
Othella Harrington;NYK;USA;7.7;6.4;0.8;2002-03
P.J. Brown;NOH;USA;10.7;9.0;1.9;2002-03
Pat Burke;ORL;Ireland;4.3;2.4;0.4;2002-03
Pat Garrity;ORL;USA;10.7;3.8;1.5;2002-03
Pau Gasol;MEM;Spain;19.0;8.8;2.8;2002-03
Nate Huffman;TOR;USA;3.3;3.3;0.7;2002-03
Mark Bryant;BOS;USA;0.8;1.3;0.3;2002-03
Stephen Jackson;SAS;USA;11.8;3.6;2.3;2002-03
Marcus Haislip;MIL;USA;4.1;1.4;0.2;2002-03
Kevin Ollie;SEA;USA;6.5;2.2;3.5;2002-03
Kevin Garnett;MIN;USA;23.0;13.4;6.0;2002-03
Kerry Kittles;NJN;USA;13.0;3.9;2.6;2002-03
Keon Clark;SAC;USA;6.7;5.6;1.0;2002-03
Kenyon Martin;NJN;USA;16.7;8.3;2.4;2002-03
Kenny Thomas;PHI;USA;10.1;8.0;1.7;2002-03
Kenny Satterfield;PHI;USA;3.4;1.1;1.7;2002-03
Kenny Anderson;NOH;USA;6.1;2.2;3.2;2002-03
Kendall Gill;MIN;USA;8.7;3.0;1.9;2002-03
Ken Johnson;MIA;USA;2.0;2.0;0.0;2002-03
Kelvin Cato;HOU;USA;4.5;5.9;0.3;2002-03
Keith Van Horn;PHI;USA;15.9;7.1;1.3;2002-03
Kedrick Brown;BOS;USA;2.8;2.7;0.4;2002-03
Karl Malone;UTA;USA;20.6;7.8;4.7;2002-03
Kareem Rush;LAL;USA;3.0;1.2;0.9;2002-03
Juwan Howard;DEN;USA;18.4;7.6;3.0;2002-03
Junior Harrington;DEN;USA;5.1;3.0;3.4;2002-03
Jumaine Jones;CLE;USA;9.8;5.1;1.4;2002-03
Juaquin Hawkins;HOU;USA;2.3;1.3;0.8;2002-03
Juan Dixon;WAS;USA;6.4;1.7;1.0;2002-03
Joseph Forte;SEA;USA;1.4;0.6;0.6;2002-03
Jonathan Bender;IND;USA;6.6;2.9;0.9;2002-03
Jon Barry;DET;USA;6.9;2.3;2.6;2002-03
Kevin Willis;SAS;USA;4.2;3.2;0.3;2002-03
Mark Blount;BOS;USA;5.0;3.8;0.7;2002-03
Keyon Dooling;LAC;USA;6.4;1.3;1.6;2002-03
Kobe Bryant;LAL;USA;30.0;6.9;5.9;2002-03
Marcus Fizer;CHI;USA;11.7;5.7;1.3;2002-03
Marcus Camby;DEN;USA;7.6;7.2;1.6;2002-03
Marc Jackson;MIN;USA;5.5;2.9;0.5;2002-03
Manu Ginobili;SAS;Argentina;7.6;2.3;2.0;2002-03
Mamadou N'diaye;TOR;Senegal;5.5;3.7;0.3;2002-03
Malik Rose;SAS;USA;10.4;6.4;1.6;2002-03
Malik Allen;MIA;USA;9.6;5.3;0.7;2002-03
Maceo Baston;TOR;USA;2.5;1.4;0.0;2002-03
Lucious Harris;NJN;USA;10.3;3.0;2.0;2002-03
Lorenzen Wright;MEM;USA;11.4;7.5;1.1;2002-03
Loren Woods;MIN;USA;2.1;2.5;0.5;2002-03
Lonny Baxter;CHI;USA;4.8;3.0;0.3;2002-03
Lindsey Hunter;TOR;USA;9.7;2.0;2.4;2002-03
Lee Nailon;NYK;USA;5.5;1.8;0.7;2002-03
Lawrence Funderburke;SAC;USA;2.7;2.0;0.3;2002-03
Lavor Postell;NYK;USA;3.6;0.3;0.3;2002-03
Latrell Sprewell;NYK;USA;16.4;3.9;4.5;2002-03
Larry Hughes;WAS;USA;12.8;4.6;3.1;2002-03
Lamar Odom;LAC;USA;14.6;6.7;3.6;2002-03
Primoz Brezec;IND;Slovenia;1.9;1.0;0.2;2002-03
LaPhonso Ellis;MIA;USA;5.0;2.9;0.3;2002-03
Kwame Brown;WAS;USA;7.4;5.3;0.7;2002-03
Kurt Thomas;NYK;USA;14.0;7.9;2.0;2002-03
Kirk Haston;NOH;USA;0.5;0.6;0.3;2002-03
Quentin Richardson;LAC;USA;9.4;4.8;0.9;2002-03
Stacey Augmon;NOH;USA;3.0;1.7;1.0;2002-03
Raef LaFrentz;DAL;USA;9.3;4.8;0.8;2002-03
Sam Cassell;MIL;USA;19.7;4.4;5.8;2002-03
Samaki Walker;LAL;USA;4.4;5.5;1.0;2002-03
Scot Pollard;SAC;USA;4.5;4.6;0.3;2002-03
Scott Padgett;UTA;USA;5.7;3.3;1.0;2002-03
Scott Williams;PHX;USA;4.0;2.8;0.3;2002-03
Scottie Pippen;POR;USA;10.8;4.3;4.5;2002-03
Sean Lampley;MIA;USA;4.8;2.4;0.9;2002-03
Sean Marks;MIA;New Zealand;2.3;1.5;0.1;2002-03
Sean Rooks;LAC;USA;4.2;3.1;1.0;2002-03
Shammond Williams;DEN;USA;8.0;2.2;3.4;2002-03
Shandon Anderson;NYK;USA;8.4;3.1;1.1;2002-03
Shane Battier;MEM;USA;9.7;4.4;1.3;2002-03
Shaquille O'Neal;LAL;USA;27.5;11.1;3.1;2002-03
Shareef Abdur-Rahim;ATL;USA;19.9;8.4;3.0;2002-03
